codigo,estacion,distrito,ubicacion,latitud,longitud
VES,Villa El Salvador,Villa El Salvador,Av. Separadora Industrial / Av. Velasco Alvarado,-12.207415,-76.933404
PI,Parque Industrial,Villa El Salvador,Av. Separadora Industrial / Av. El Sol,-12.196510,-76.939445
PU,Pumacahua,VM del Triunfo,Av. La Unión / Pedro Ruiz Gallo / E. Aguirre,-12.182321,-76.946890
VM,Villa María,VM del Triunfo,Av. Pachacútec / Av. Santa Rosa,-12.169285,-76.950356
MA,María Auxiliadora,VM del Triunfo,Av. Pachacútec / Av. Manco Cápac,-12.161188,-76.956332
SJ,San Juan,SJ de Miraflores,Los Héroes / Av. César Canevaro,-12.156500,-76.965687
AT,Atocongo,SJ de Miraflores,Av. Los Héroes / Av. Buckingham,-12.150847,-76.979538
JCH,Jorge Chávez,Santiago de Surco,Av. Tomás Marsano / Av. Jorge Chávez,-12.142587,-76.991015
AY,Ayacucho,Santiago de Surco,Av. Tomás Marsano / Av. Ayacucho,-12.134755,-76.997012
CA,Cabitos,Santiago de Surco,Av. Aviación / Óvalo Los Cabitos (Higuereta),-12.127667,-77.000669
AN,Angamos,San Borja,Av. Aviación / Av. Primavera,-12.111075,-77.000208
SBS,San Borja Sur,San Borja,Av. Aviación / Av. San Borja Sur,-12.100967,-77.001694
LC,La Cultura,San Borja,Av. Aviación / Av. Javier Prado,-12.087475,-77.003678
NA,Arriola,La Victoria,Av. Aviación / Óvalo Arriola,-12.076029,-77.010992
GA,Gamarra,La Victoria,Av. Aviación / Jirón Hipólito Unanue,-12.065137,-77.012411
GR,Grau,Cercado de Lima,Av. Grau / Nicolás Ayllón,-12.055529,-77.013857
