est,dir,hora
AN,GRAU,10:10
AN,GRAU,10:24
AN,GRAU,10:38
AN,GRAU,10:53
AN,GRAU,11:07
AN,GRAU,11:22
AN,GRAU,11:36
AN,GRAU,11:50
AN,GRAU,12:05
AN,GRAU,12:19
AN,GRAU,12:34
AN,GRAU,12:48
AN,GRAU,13:03
AN,GRAU,13:18
AN,GRAU,13:33
AN,GRAU,13:48
AN,GRAU,14:03
AN,GRAU,14:18
AN,GRAU,14:33
AN,GRAU,14:48
AN,GRAU,15:03
AN,GRAU,15:18
AN,GRAU,15:33
AN,GRAU,15:48
AN,GRAU,16:03
AN,GRAU,16:18
AN,GRAU,16:33
AN,GRAU,16:48
AN,GRAU,17:03
AN,GRAU,17:18
AN,GRAU,17:33
AN,GRAU,17:48
AN,GRAU,18:03
AN,GRAU,18:18
AN,GRAU,18:33
AN,GRAU,18:48
AN,GRAU,19:03
AN,GRAU,19:18
AN,GRAU,19:33
AN,GRAU,19:48
AN,GRAU,20:03
AN,GRAU,20:18
AN,GRAU,20:38
AN,GRAU,20:58
AN,GRAU,21:18
AN,GRAU,21:38
AN,GRAU,21:58
AN,GRAU,22:18
AN,GRAU,6:18
AN,GRAU,6:38
AN,GRAU,6:58
AN,GRAU,7:18
AN,GRAU,7:38
AN,GRAU,7:58
AN,GRAU,8:13
AN,GRAU,8:28
AN,GRAU,8:43
AN,GRAU,8:58
AN,GRAU,9:12
AN,GRAU,9:26
AN,GRAU,9:41
AN,GRAU,9:55
AN,VES,10:06
AN,VES,10:20
AN,VES,10:35
AN,VES,10:49
AN,VES,11:03
AN,VES,11:18
AN,VES,11:32
AN,VES,11:47
AN,VES,12:01
AN,VES,12:15
AN,VES,12:30
AN,VES,12:44
AN,VES,12:59
AN,VES,13:14
AN,VES,13:29
AN,VES,13:44
AN,VES,13:59
AN,VES,14:14
AN,VES,14:29
AN,VES,14:44
AN,VES,14:59
AN,VES,15:14
AN,VES,15:29
AN,VES,15:44
AN,VES,15:59
AN,VES,16:14
AN,VES,16:29
AN,VES,16:44
AN,VES,16:59
AN,VES,17:14
AN,VES,17:29
AN,VES,17:44
AN,VES,17:59
AN,VES,18:14
AN,VES,18:29
AN,VES,18:44
AN,VES,18:59
AN,VES,19:14
AN,VES,19:29
AN,VES,19:44
AN,VES,19:59
AN,VES,20:14
AN,VES,20:29
AN,VES,20:44
AN,VES,21:04
AN,VES,21:24
AN,VES,21:44
AN,VES,22:04
AN,VES,6:11
AN,VES,6:31
AN,VES,6:51
AN,VES,7:11
AN,VES,7:31
AN,VES,7:51
AN,VES,8:11
AN,VES,8:25
AN,VES,8:39
AN,VES,8:54
AN,VES,9:08
AN,VES,9:23
AN,VES,9:37
AN,VES,9:51
AT,GRAU,10:01
AT,GRAU,10:15
AT,GRAU,10:29
AT,GRAU,10:44
AT,GRAU,10:58
AT,GRAU,11:13
AT,GRAU,11:27
AT,GRAU,11:41
AT,GRAU,11:56
AT,GRAU,12:10
AT,GRAU,12:25
AT,GRAU,12:39
AT,GRAU,12:54
AT,GRAU,13:09
AT,GRAU,13:24
AT,GRAU,13:39
AT,GRAU,13:54
AT,GRAU,14:09
AT,GRAU,14:24
AT,GRAU,14:39
AT,GRAU,14:54
AT,GRAU,15:09
AT,GRAU,15:24
AT,GRAU,15:39
AT,GRAU,15:54
AT,GRAU,16:09
AT,GRAU,16:24
AT,GRAU,16:39
AT,GRAU,16:54
AT,GRAU,17:09
AT,GRAU,17:24
AT,GRAU,17:39
AT,GRAU,17:54
AT,GRAU,18:09
AT,GRAU,18:24
AT,GRAU,18:39
AT,GRAU,18:54
AT,GRAU,19:09
AT,GRAU,19:24
AT,GRAU,19:39
AT,GRAU,19:54
AT,GRAU,20:09
AT,GRAU,20:29
AT,GRAU,20:49
AT,GRAU,21:09
AT,GRAU,21:29
AT,GRAU,21:49
AT,GRAU,22:09
AT,GRAU,6:09
AT,GRAU,6:29
AT,GRAU,6:49
AT,GRAU,7:09
AT,GRAU,7:29
AT,GRAU,7:49
AT,GRAU,8:04
AT,GRAU,8:19
AT,GRAU,8:34
AT,GRAU,8:49
AT,GRAU,9:03
AT,GRAU,9:17
AT,GRAU,9:32
AT,GRAU,9:46
AT,VES,10:00
AT,VES,10:15
AT,VES,10:29
AT,VES,10:44
AT,VES,10:58
AT,VES,11:12
AT,VES,11:27
AT,VES,11:41
AT,VES,11:56
AT,VES,12:10
AT,VES,12:24
AT,VES,12:39
AT,VES,12:53
AT,VES,13:08
AT,VES,13:23
AT,VES,13:38
AT,VES,13:53
AT,VES,14:08
AT,VES,14:23
AT,VES,14:38
AT,VES,14:53
AT,VES,15:08
AT,VES,15:23
AT,VES,15:38
AT,VES,15:53
AT,VES,16:08
AT,VES,16:23
AT,VES,16:38
AT,VES,16:53
AT,VES,17:08
AT,VES,17:23
AT,VES,17:38
AT,VES,17:53
AT,VES,18:08
AT,VES,18:23
AT,VES,18:38
AT,VES,18:53
AT,VES,19:08
AT,VES,19:23
AT,VES,19:38
AT,VES,19:53
AT,VES,20:08
AT,VES,20:23
AT,VES,20:38
AT,VES,20:53
AT,VES,21:13
AT,VES,21:33
AT,VES,21:53
AT,VES,22:13
AT,VES,6:20
AT,VES,6:40
AT,VES,7:00
AT,VES,7:20
AT,VES,7:40
AT,VES,8:00
AT,VES,8:20
AT,VES,8:34
AT,VES,8:48
AT,VES,9:03
AT,VES,9:17
AT,VES,9:32
AT,VES,9:46
AY,GRAU,10:05
AY,GRAU,10:19
AY,GRAU,10:33
AY,GRAU,10:48
AY,GRAU,11:02
AY,GRAU,11:17
AY,GRAU,11:31
AY,GRAU,11:45
AY,GRAU,12:00
AY,GRAU,12:14
AY,GRAU,12:29
AY,GRAU,12:43
AY,GRAU,12:58
AY,GRAU,13:13
AY,GRAU,13:28
AY,GRAU,13:43
AY,GRAU,13:58
AY,GRAU,14:13
AY,GRAU,14:28
AY,GRAU,14:43
AY,GRAU,14:58
AY,GRAU,15:13
AY,GRAU,15:28
AY,GRAU,15:43
AY,GRAU,15:58
AY,GRAU,16:13
AY,GRAU,16:28
AY,GRAU,16:43
AY,GRAU,16:58
AY,GRAU,17:13
AY,GRAU,17:28
AY,GRAU,17:43
AY,GRAU,17:58
AY,GRAU,18:13
AY,GRAU,18:28
AY,GRAU,18:43
AY,GRAU,18:58
AY,GRAU,19:13
AY,GRAU,19:28
AY,GRAU,19:43
AY,GRAU,19:58
AY,GRAU,20:13
AY,GRAU,20:33
AY,GRAU,20:53
AY,GRAU,21:13
AY,GRAU,21:33
AY,GRAU,21:53
AY,GRAU,22:13
AY,GRAU,6:13
AY,GRAU,6:33
AY,GRAU,6:53
AY,GRAU,7:13
AY,GRAU,7:33
AY,GRAU,7:53
AY,GRAU,8:08
AY,GRAU,8:23
AY,GRAU,8:38
AY,GRAU,8:53
AY,GRAU,9:07
AY,GRAU,9:21
AY,GRAU,9:36
AY,GRAU,9:50
AY,VES,10:11
AY,VES,10:25
AY,VES,10:40
AY,VES,10:54
AY,VES,11:08
AY,VES,11:23
AY,VES,11:37
AY,VES,11:52
AY,VES,12:06
AY,VES,12:20
AY,VES,12:35
AY,VES,12:49
AY,VES,13:04
AY,VES,13:19
AY,VES,13:34
AY,VES,13:49
AY,VES,14:04
AY,VES,14:19
AY,VES,14:34
AY,VES,14:49
AY,VES,15:04
AY,VES,15:19
AY,VES,15:34
AY,VES,15:49
AY,VES,16:04
AY,VES,16:19
AY,VES,16:34
AY,VES,16:49
AY,VES,17:04
AY,VES,17:19
AY,VES,17:34
AY,VES,17:49
AY,VES,18:04
AY,VES,18:19
AY,VES,18:34
AY,VES,18:49
AY,VES,19:04
AY,VES,19:19
AY,VES,19:34
AY,VES,19:49
AY,VES,20:04
AY,VES,20:19
AY,VES,20:34
AY,VES,20:49
AY,VES,21:09
AY,VES,21:29
AY,VES,21:49
AY,VES,22:09
AY,VES,6:16
AY,VES,6:36
AY,VES,6:56
AY,VES,7:16
AY,VES,7:36
AY,VES,7:56
AY,VES,8:16
AY,VES,8:30
AY,VES,8:44
AY,VES,8:59
AY,VES,9:13
AY,VES,9:28
AY,VES,9:42
AY,VES,9:56
CA,GRAU,10:07
CA,GRAU,10:21
CA,GRAU,10:35
CA,GRAU,10:50
CA,GRAU,11:04
CA,GRAU,11:19
CA,GRAU,11:33
CA,GRAU,11:47
CA,GRAU,12:02
CA,GRAU,12:16
CA,GRAU,12:31
CA,GRAU,12:45
CA,GRAU,13:00
CA,GRAU,13:15
CA,GRAU,13:30
CA,GRAU,13:45
CA,GRAU,14:00
CA,GRAU,14:15
CA,GRAU,14:30
CA,GRAU,14:45
CA,GRAU,15:00
CA,GRAU,15:15
CA,GRAU,15:30
CA,GRAU,15:45
CA,GRAU,16:00
CA,GRAU,16:15
CA,GRAU,16:30
CA,GRAU,16:45
CA,GRAU,17:00
CA,GRAU,17:15
CA,GRAU,17:30
CA,GRAU,17:45
CA,GRAU,18:00
CA,GRAU,18:15
CA,GRAU,18:30
CA,GRAU,18:45
CA,GRAU,19:00
CA,GRAU,19:15
CA,GRAU,19:30
CA,GRAU,19:45
CA,GRAU,20:00
CA,GRAU,20:15
CA,GRAU,20:35
CA,GRAU,20:55
CA,GRAU,21:15
CA,GRAU,21:35
CA,GRAU,21:55
CA,GRAU,22:15
CA,GRAU,6:15
CA,GRAU,6:35
CA,GRAU,6:55
CA,GRAU,7:15
CA,GRAU,7:35
CA,GRAU,7:55
CA,GRAU,8:10
CA,GRAU,8:25
CA,GRAU,8:40
CA,GRAU,8:55
CA,GRAU,9:09
CA,GRAU,9:23
CA,GRAU,9:38
CA,GRAU,9:52
CA,VES,10:09
CA,VES,10:23
CA,VES,10:38
CA,VES,10:52
CA,VES,11:06
CA,VES,11:21
CA,VES,11:35
